dataset,split,beta,algorithm,seed,rounds,best_acc,best_round,last_acc,time,comm,comm_time,energy,model,epochs,lr,num_users,client_selection,run_timestamp,run_id,matched_log,output_path
cifar100,beta0.1,0.1,DFL,1,200,18.385000228881836,174,16.936999988555907,6844.351684804229,3333.0140991210938,871.0040140817783,134267.77632682974,resnet8,200,0.01,10,comprehensive_0.8_0.0_0.2,2026_05_24_19_15_17,DFL_cifar100_resnet8_200_lr0.01_2026_05_24_19_15_17_numuser10_clientSelection_comprehensive_0.8_0.0_0.2,logs/cifar100_baselines_active_20260524_154231_20260524_154233/seed1_beta0p1_DFL.log,output/5/0.1/test_acc_DFL_cifar100_resnet8_200_lr0.01_2026_05_24_19_15_17_numuser10_clientSelection_comprehensive_0.8_0.0_0.2
cifar100,beta0.1,0.1,DFL,1024,200,19.64799976348877,166,17.124000072479248,7714.38542482903,3257.2637786865234,833.3502544747714,140537.01999508156,resnet8,200,0.01,10,comprehensive_0.8_0.0_0.2,2026_05_25_13_57_11,DFL_cifar100_resnet8_200_lr0.01_2026_05_25_13_57_11_numuser10_clientSelection_comprehensive_0.8_0.0_0.2,logs/cifar100_baselines_mixed_20260525_111637_20260525_111639/seed1024_beta0p1_DFL.log,output/5/0.1/test_acc_DFL_cifar100_resnet8_200_lr0.01_2026_05_25_13_57_11_numuser10_clientSelection_comprehensive_0.8_0.0_0.2
cifar100,beta0.1,0.1,DFL,42,200,17.219999980926513,196,16.58199996948242,6592.812230281981,3333.0140991210938,824.6590910906987,131077.45077212315,resnet8,200,0.01,10,comprehensive_0.8_0.0_0.2,2026_05_25_13_55_27,DFL_cifar100_resnet8_200_lr0.01_2026_05_25_13_55_27_numuser10_clientSelection_comprehensive_0.8_0.0_0.2,logs/cifar100_baselines_idle_20260525_111636_20260525_111638/seed42_beta0p1_DFL.log,output/5/0.1/test_acc_DFL_cifar100_resnet8_200_lr0.01_2026_05_25_13_55_27_numuser10_clientSelection_comprehensive_0.8_0.0_0.2
cifar100,beta0.1,0.1,DFL_MM,1,200,33.53999900817871,194,31.105000495910645,7481.191243672338,15126.28173828125,1702.6434405680275,148078.2385423047,resnet8,200,0.01,10,comprehensive_0.8_0.0_0.2,2026_05_21_20_56_22,DFL_MM_cifar100_resnet8_200_lr0.01_2026_05_21_20_56_22_numuser10_clientSelection_comprehensive_0.8_0.0_0.2,logs/cifar100_dflmm_200_seed1_20260521_161534/beta0.1.log,output/5/0.1/test_acc_DFL_MM_cifar100_resnet8_200_lr0.01_2026_05_21_20_56_22_numuser10_clientSelection_comprehensive_0.8_0.0_0.2
cifar100,beta0.1,0.1,DFL_MM,1024,200,34.3849983215332,195,32.00999927520752,7444.4881927948645,15126.28173828125,1658.2364581302832,153853.16923560528,resnet8,200,0.01,10,comprehensive_0.8_0.0_0.2,2026_05_23_19_58_56,DFL_MM_cifar100_resnet8_200_lr0.01_2026_05_23_19_58_56_numuser10_clientSelection_comprehensive_0.8_0.0_0.2,logs/cifar100_remaining_relaunch_20260523_120416_20260523_120420/seed1024_beta0p1_dflmm.log,output/5/0.1/test_acc_DFL_MM_cifar100_resnet8_200_lr0.01_2026_05_23_19_58_56_numuser10_clientSelection_comprehensive_0.8_0.0_0.2
cifar100,beta0.1,0.1,DFL_MM,42,200,33.33500099182129,198,28.799999237060547,7295.845723110719,15126.28173828125,1682.6485721539716,146269.97350092756,resnet8,200,0.01,10,comprehensive_0.8_0.0_0.2,2026_05_23_20_04_34,DFL_MM_cifar100_resnet8_200_lr0.01_2026_05_23_20_04_34_numuser10_clientSelection_comprehensive_0.8_0.0_0.2,logs/cifar100_remaining_relaunch_20260523_120416_20260523_120420/seed42_beta0p1_dflmm.log,output/5/0.1/test_acc_DFL_MM_cifar100_resnet8_200_lr0.01_2026_05_23_20_04_34_numuser10_clientSelection_comprehensive_0.8_0.0_0.2
cifar100,beta0.1,0.1,DFedPGP,1,200,14.703999900817871,188,14.634000015258788,8124.722366485947,3298.546112060547,871.0040140817783,159880.02659850795,resnet8,200,0.01,10,comprehensive_0.8_0.0_0.2,2026_05_24_21_29_39,DFedPGP_cifar100_resnet8_200_lr0.01_2026_05_24_21_29_39_numuser10_clientSelection_comprehensive_0.8_0.0_0.2,logs/cifar100_baselines_active_20260524_154231_20260524_154233/seed1_beta0p1_DFedPGP.log,output/5/0.1/test_acc_DFedPGP_cifar100_resnet8_200_lr0.01_2026_05_24_21_29_39_numuser10_clientSelection_comprehensive_0.8_0.0_0.2
cifar100,beta0.1,0.1,DFedPGP,1024,200,15.741000175476074,179,15.629999828338622,9173.142661587837,3223.5791549682617,833.3502544747714,167476.57034479626,resnet8,200,0.01,10,comprehensive_0.8_0.0_0.2,2026_05_25_16_54_27,DFedPGP_cifar100_resnet8_200_lr0.01_2026_05_25_16_54_27_numuser10_clientSelection_comprehensive_0.8_0.0_0.2,logs/cifar100_baselines_mixed_20260525_111637_20260525_111639/seed1024_beta0p1_DFedPGP.log,output/5/0.1/test_acc_DFedPGP_cifar100_resnet8_200_lr0.01_2026_05_25_16_54_27_numuser10_clientSelection_comprehensive_0.8_0.0_0.2
cifar100,beta0.1,0.1,DFedPGP,42,200,14.630000114440918,188,14.288000011444092,7828.39032717444,3298.546112060547,824.6590910906987,156126.4909980963,resnet8,200,0.01,10,comprehensive_0.8_0.0_0.2,2026_05_25_17_01_29,DFedPGP_cifar100_resnet8_200_lr0.01_2026_05_25_17_01_29_numuser10_clientSelection_comprehensive_0.8_0.0_0.2,logs/cifar100_baselines_idle_20260525_111636_20260525_111638/seed42_beta0p1_DFedPGP.log,output/5/0.1/test_acc_DFedPGP_cifar100_resnet8_200_lr0.01_2026_05_25_17_01_29_numuser10_clientSelection_comprehensive_0.8_0.0_0.2
cifar100,beta0.1,0.1,LD_SGD,1,200,14.410000038146972,193,13.217999839782715,6541.754739255779,1325.6306076049805,334.1104755098812,129968.13555797006,resnet8,200,0.01,10,comprehensive_0.8_0.0_0.2,2026_05_25_02_30_08,LD_SGD_cifar100_resnet8_200_lr0.01_2026_05_25_02_30_08_numuser10_clientSelection_comprehensive_0.8_0.0_0.2,logs/cifar100_baselines_active_20260524_154231_20260524_154233/seed1_beta0p1_LD_SGD.log,output/5/0.1/test_acc_LD_SGD_cifar100_resnet8_200_lr0.01_2026_05_25_02_30_08_numuser10_clientSelection_comprehensive_0.8_0.0_0.2
