beta,seed,algorithm,label,run_tag,status,rounds,best_acc,best_round,time,comm_time,comm_MB,energy,time_at_best_acc,comm_time_at_best_acc,comm_MB_at_best_acc,energy_at_best_acc,missing_metrics,suffix
0.5,1024,AutoRL_DFL_MM,AutoRL,seed1024_beta0.5_autorl,complete,200,32.34000015258789,100,7744.564873755616,1694.760877076373,7806.375823974609,157180.9698207021,3698.939863915663,975.6123143561913,4419.7863121032715,78726.60167665078,,AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_03_52_12_numuser10_clientSelection_autorl_tagseed1024_beta0.5_autorl
0.5,1024,DFL_MM,DFL-MM,seed1024_beta0.5_dflmm,complete,200,30.815000534057617,195,7575.649413077822,1626.1538694381422,15282.8369140625,153865.42995569392,7378.090371526404,1587.541923162861,14900.765991210938,149937.89999288518,,DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_03_49_32_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.5_dflmm
0.5,1024,DFL,DFL,seed1024_beta0.5_dfl,complete,200,29.84999942779541,200,11391.636524804004,7467.101471686377,30938.5041847229,185851.96062504832,11391.636524804004,7467.101471686377,30938.5041847229,185851.96062504832,,DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_25_03_21_03_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.5_dfl
0.5,1024,DFedPGP,DFedPGP,seed1024_beta0.5_dfedpgp,complete,200,19.895000457763672,193,12832.093421675792,7467.101471686377,30305.392404556274,212612.86870841234,12355.584951300732,7233.706078635547,29274.596744537354,205177.88715461016,,DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_25_03_28_36_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.5_dfedpgp
0.5,1024,LD_SGD,LD-SGD,seed1024_beta0.5_ldsgd,complete,200,22.880000114440918,175,8938.95857291388,2870.3768822868456,11996.562847137451,155404.19942570935,7733.795237667636,2504.4637831288032,10504.167469024658,135503.4504313821,,LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_25_03_42_47_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.5_ldsgd
0.1,1,AutoRL_DFL_MM,AutoRL,seed1_beta0.1_autorl,complete,200,25.31999969482422,93,7666.801811346152,1678.772273393059,7519.376712799072,151945.96504346433,3162.0273552654094,915.1635478588411,4113.653926849365,69510.00485046413,,AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_22_20_06_14_numuser10_clientSelection_autorl_tagseed1_beta0.1_autorl
0.1,1,DFL_MM,DFL-MM,seed1_beta0.1_dflmm,complete,200,20.704999923706055,189,7108.895140860863,1681.74948662238,15282.8369140625,145650.69610221018,6716.838912244356,1588.7540296545028,14442.280883789062,137631.41590784103,,DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_22_19_45_18_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.1_dflmm
0.1,1,DFL,DFL,seed1_beta0.1_dfl,complete,200,21.954999923706055,190,10953.706485273435,7486.345634138421,30861.971088409424,179456.81997441605,10364.368651276247,7097.811545770547,29235.642791748047,170426.02153094372,,DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_24_15_18_32_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.1_dfl
0.1,1,DFedPGP,DFedPGP,seed1_beta0.1_dfedpgp,complete,200,11.589999675750732,195,12300.957338377955,7486.345634138421,30230.42544746399,205098.76995909013,12036.23063237768,7275.715799783875,29387.04718017578,199894.9379863696,,DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_24_15_18_33_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.1_dfedpgp
0.1,1,LD_SGD,LD-SGD,seed1_beta0.1_ldsgd,complete,200,14.889999866485596,200,8562.013029885866,3042.1879749830823,12666.227439880371,149974.81480641197,8562.013029885866,3042.1879749830823,12666.227439880371,149974.81480641197,,LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_24_15_18_32_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.1_ldsgd
